,title,hits
14,바이오하자드4 리메이크 정식 출시 풀버전 (BIOHAZARD RE:4),1005251
20,수탉의 국경 검문소에서 근무하는 게임 최종편 (콘트라밴드 폴리스/Contraband Police),635180
3,그림자 복도2 베타버전이 드디어 풀렸습니다!! (그림자 복도2 : 비의 수국),553935
7,생방송 시청자들과 다 같이 남극대륙 횡단하기ㅋㅋㅋㅋ,463307
4,싱글벙글 신나는 숨바꼭질 게임ㅋㅋㅋ 27편 (프롭나이트/Propnight),424653
5,오분가 피하기 게임,417431
21,어디까지 올라가야 정상이 나오는 거냐고 (Only Up!),403212
11,이번 여름 역대급으로 무서운 공포게임이 나왔습니다 (신작 공포게임),392047
18,실종된 사촌동생을 찾기 위한 위험천만한 모험 (길트/신작 공포게임),349082
22,회사에서 혼자 야간 경비 일을 하다가 생기는 일 (야간경비/夜間警備),344944
8,그림자 복도2 최고 난이도는 얼마나 어려울까? (그림자 복도2 : 비의 수국),320242
12,더욱더 강력하게 돌아온 펭귄게임ㅋㅋㅋㅋㅋㅋ(명작 그 자체;;),280285
13,여동생을 만나기로 한 공원에서 생긴 소름 돋는 일 (싸이크/Psych),275298
15,수탉의 즐거운 데드 바이 데이라이트 (생존자27편),244070
17,위험한 도시에 알바를 하러 갔다가 생기는 일 (공포게임/Terminal 81),233415
10,어떤 아파트에 택배 배달을 하다가 발견한 포스터.. (공포게임),232361
16,무서운 괴물들이 나오는 농장에서 살아남기 (공포게임/펌킨 패닉),218627
23,엄마 몰래 밤에 티비보다 걸리면 죽는 공포게임,159889
19,"25,000달러를 찾기 위해 들어간 버려진 건물 (공포게임)",159280
9,팬들을 위해 자극적인 영상을 찍다가 벌어지는 일 (공포게임),142673
0,역대급 실사 퀄리티의 백룸을 탐험하는 게임 (The Complex: Expedition),138305
1,밥알이 몇 개인지 정확히 맞혀야 하는 게임,131279
2,사람을 잡아먹는 미치광이의 집에서 탈출하기!? (방탈출 공포게임),115736
6,[#심야괴담회] 10분 안에 푹 잘 수 있는 자취방 괴담 1시간 ASMR #심야괴담회 #심괴 #어둑시니 MBC210422방송,69565
